ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
563-1,17,1.07,20.1,112.5,LCDM-NFW,-6.965864927426466,-6.965864927426466,-4.211166543143559,both_finite,0.0857421875,0.9999812487315846,0.8752930857624954,82.16056178865904,85.49389512199237,85.4934151648839,nan,nan,nan,nan,0.6751054849255732,0.3619404442390093,0.01640413670727316,False,True,nan,nan,nan,0.0,nan,0,0,1,OK
563-V1,6,1.31,7.87,29.5,LCDM-NFW,0.6516477092947159,0.6516477092947159,0.08942755458449803,both_finite,0.0,0.38974749049196267,0.9154444593634782,15.068031015318317,55.06803101531832,14.235068892230537,nan,nan,nan,nan,0.8879701980397605,0.5643973905934903,0.19817772235848155,True,True,nan,nan,nan,0.0,nan,1,1,2,OK
GC3953,8,3.5,15.68,224.0,LCDM-NFW,0.6108745190493536,0.6108745190493536,0.319557881294422,both_finite,0.0,0.34142891220933197,0.9601361500142689,24.47544400395756,37.80877733729089,24.7932101706769,nan,nan,nan,nan,1.4286094099086328,0.05393092879690492,0.12078023300664952,True,False,nan,nan,nan,0.0,nan,0,0,1,OK
GC3972,10,0.87,8.72,134.0,LCDM-ISO,-19.885410552647105,-19.885410552647105,-3.971337087534174,both_finite,0.0,0.20587934992175205,0.9965168547038284,18.465463345220975,26.465463345220975,19.67580371719716,nan,nan,nan,nan,1.3467376802334088,0.3220651693964171,0.7854589266148616,True,True,nan,nan,nan,-2.8734659691929574,nan,1,0,1,OK
GC3992,9,9.19,46.02,272.0,LCDM-NFW,-1.5487322838133082,-1.5487322838133082,-0.2254378285996559,both_finite,0.0,0.5948876460385503,0.9040665870210836,33.24215700060822,43.24215700060822,34.0310553099531,nan,nan,nan,nan,2.1180573583202342,-0.074495111096927,0.7310273882393901,True,False,nan,nan,nan,0.0,nan,0,0,1,OK
GC4010,12,0.87,10.47,129.0,LCDM-NFW,-3.9210395590253313,-3.9210395590253313,0.34214037868578373,both_finite,0.062713623046875,1.00000392578006,0.9459300170601936,54.6441573524304,60.35844306671611,56.5837839515824,nan,nan,nan,nan,0.4373385698531885,0.7959802077978678,0.5348200032786512,False,True,nan,nan,nan,0.0,nan,1,1,1,OK
GC4013,36,5.49,31.01,198.0,LCDM-NFW,3.557583682157201,3.557583682157201,0.6955811970396653,both_finite,0.0,0.773613966540846,0.778475540431507,123.6305024531923,124.92082503383747,129.96457820701676,nan,nan,nan,nan,0.38545784270516686,0.8046109078491736,0.46555777469059767,True,True,nan,nan,nan,0.0,nan,1,1,0,OK
563-V2,10,0.28,10.47,118.0,LCDM-ISO,-11.002543028376934,-11.002543028376934,-4.273117658461045,both_finite,0.0,0.20324938660399275,0.9863506223457061,37.22817728346756,45.22817728346756,38.438517655443746,nan,nan,nan,nan,1.094965229687774,0.43800265626581714,0.4554087477205526,True,True,nan,nan,nan,-3.162759611999987,nan,1,2,1,OK
GC4051,7,1.74,12.19,161.0,LCDM-NFW,-0.40737672438327266,-0.40737672438327266,0.015097671651179922,both_finite,0.0155517578125,1.0000540893154397,0.9154418238891433,30.47348998855969,50.47348998855969,30.257130584780946,nan,nan,nan,nan,1.735680838495866,0.1240661853676482,0.3488541453958347,False,False,nan,nan,nan,0.0,nan,0,0,0,OK
565-V2,7,1.26,8.8,83.1,LCDM-ISO,-18.814506190276937,-18.814506190276937,-2.463225454917499,both_finite,0.0,0.08475182535836191,0.9939719723423677,14.618775190237667,34.61877519023767,14.402415786458919,nan,nan,nan,nan,1.239063363062819,0.28220665457458505,0.040113343381157775,True,False,nan,nan,nan,-4.546865241541591,nan,1,2,1,OK
567-2,5,1.92,9.59,52.2,LCDM-NFW,-1.2997221792915283,-1.2997221792915283,-0.03701371799781761,both_finite,0.07392578125000002,1.0000445773904567,0.8360163033474808,20.721713525370443,20.721713525370443,19.159465175106845,nan,nan,nan,nan,1.391354375854111,-0.12591337334721364,0.11218902333302286,False,False,nan,nan,nan,0.0,nan,1,1,0,OK
GC4068,6,0.21,2.33,41.9,LCDM-ISO,-31.133208526802786,-31.133208526802786,-0.18238409484857865,both_finite,0.0,0.13810210631868639,0.9977004230367718,0.21549123328968367,40.21549123328968,-0.6174708897980965,nan,nan,nan,nan,2.7410207503927864,-0.47448004751587625,0.7446082282307985,True,True,nan,nan,nan,-6.475983796975791,nan,1,2,0,OK
