ID,n,n_outer,finite_outer,r2_outer,frac_used,A,A_err,B,B_err,alpha_log,alpha_log_err,cC2,cC2_err,alpha_Ric,alpha_Ric_err
GC1705,14,3,1.00,0.98,0.35,68.50234515049817,0.40530937126829303,-201.34772860349625,2.851679519552787,48.887577874002154,1.243161352528473,34.251172575249086,0.20265468563414651,48.887577874002154,1.243161352528473
GC2366,26,3,1.00,0.99,0.35,18.665055012252772,0.4159485647082403,-58.52170236662106,3.1010780417936314,13.902978727399695,1.423412186882915,9.332527506126386,0.20797428235412016,13.902978727399695,1.423412186882915
GC2403,73,3,1.00,1.00,0.35,327.3366160353652,26.609907388398316,-5977.000103675713,368.0611381535544,1084.0199870837073,1116.7131781029634,163.6683080176826,13.304953694199158,1084.0199870837073,1116.7131781029634
GC2683,11,3,1.00,0.98,0.35,908.9289927750948,1.494698203833363,50315.48523923907,176.48874183060812,59442.22977037628,148.84302460183412,454.4644963875474,0.7473491019166815,59442.22977037628,148.84302460183412
GC2841,50,3,1.00,0.67,0.35,8011.041747362411,131.51929709514792,3649561.65310819,127745.39017386695,1744807.018248865,50316.94016074329,4005.5208736812056,65.75964854757396,1744807.018248865,50316.94016074329
GC2903,34,3,1.00,1.00,0.35,529.7243931417154,4.487422993427141,5876.820018363122,170.3381989063689,19813.594995024225,260.64046748007775,264.8621965708577,2.2437114967135705,19813.594995024225,260.64046748007775
GC2915,30,3,1.00,1.00,0.35,788.8277607935132,8.204752520378849,-7496.394604854636,90.20628214836599,5556.79044078045,78.03283751526347,394.4138803967566,4.102376260189424,5556.79044078045,78.03283751526347
GC2955,24,3,1.00,0.99,0.35,97.46510814975517,0.08254787006106193,5743.169288410208,9.202758249709065,6492.759825355401,7.988742481747221,48.732554074877584,0.041273935030530964,6492.759825355401,7.988742481747221
GC2976,27,3,1.00,0.97,0.35,0.6251315778818626,0.0009250397944870381,-0.7323485866235402,0.0017186788816147117,0.14833282592344163,0.00040538920896433887,0.3125657889409313,0.00046251989724351906,0.14833282592344163,0.00040538920896433887
GC2998,13,3,1.00,0.97,0.35,748.676703938487,0.7822846752866902,64061.97336661188,154.14450100025056,60122.28570264841,104.72619332603782,374.3383519692435,0.3911423376433451,60122.28570264841,104.72619332603782
