ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
GC02953,115,0.09,62.39,319.0,EGR-10,-490.29150238688334,-490.29150238688334,11.230676717008919,F7_fallback,0.0116912841796875,0.9999795421043536,0.9492451983746119,445.90641885894314,448.0218034743278,473.35574014257566,413.9144498437773,183.41720458890586,0.07200000000894158,13.705565473229555,0.1614475056571451,0.924386444705003,0.0008787316753254476,False,True,nan,nan,nan,-57.1381173174165,nan,2,0,2,OK
GC03205,48,0.28,40.04,237.0,EGR-10,-259.93632283692887,-259.93632283692887,-7.06121279197977,F7_fallback,0.0,0.5875071718526891,0.990240319355857,119.84941349248497,125.79535943843092,138.5614236015639,689.2446609923468,39.10200164202487,4.35003826689069,2.7252997650916457,1.1194555365579406,0.42813898171493625,4.457995509934005e-05,True,True,nan,nan,nan,-45.052251502378155,nan,1,0,1,OK
GC03546,30,0.63,29.23,262.0,EGR-10,-84.22293409046486,-84.22293409046486,-1.5819735373987172,F7_fallback,0.0,0.5606375744340787,0.8607730830896874,136.64557770388987,148.2245250723109,150.65755152051142,682.6121748285841,35.73579636733161,10.932714321557139,5.63258656478731,1.832390433414106,0.07771196535356005,0.09719222497095147,True,False,nan,nan,nan,-26.725424903597233,nan,0,0,0,OK
GC03580,47,0.11,27.06,131.0,EGR-10,-247.3017086674763,-247.3017086674763,-119.69525833364773,F7_fallback,0.01575927734375,0.9999356504019435,0.9224920541744437,186.08555730640117,192.19666841751229,204.58703332350177,45.934619306925,26.706685917156413,22.616154186851283,5.9657609644845175,0.6693600570854027,0.6638184556939221,0.024312999493448464,False,True,nan,nan,nan,-89.36364618183812,nan,1,0,0,OK
GC04278,25,0.14,6.69,92.8,EGR-10,-193.42033158764644,-193.42033158764644,-1263.0281088545412,F7_fallback,0.0,0.08102676259307572,0.9974739760114992,30.260022650920405,45.97430836520612,42.44878089960241,7.14150638219829,47.84558940581564,6.467029330680024,1.8216180446262835,1.2854874653105883,0.3073774373450379,0.6078979360242796,True,True,nan,nan,nan,-70.06116810551866,nan,2,0,3,OK
GC04305,22,0.25,5.52,37.3,EGR-10,-175.89345602084066,-175.89345602084066,-2940.3881644812063,F7_fallback,0.0,0.20086340550348677,0.9843378474292499,23.324760670686516,43.324760670686516,34.235185204269676,3.7407796421087744,13.452055180567047,1.731400863051558,0.6483035694045438,1.1113207518858057,0.27878506047476154,0.9002744797357631,True,False,nan,nan,nan,-71.44367681841894,nan,1,0,2,OK
GC04325,8,0.7,5.59,92.7,EGR-10,-63.981624246468826,-63.981624246468826,-10.581930191526624,F7_fallback,0.0,0.28262424711831474,0.9988243364826226,11.099499321867409,11.099499321867409,11.893914738665767,212.50789074764012,7.321319642466618,2.047703571325355,0.7971830978689204,1.5909732822138958,-0.5226744317164004,0.05965516235792957,True,True,nan,nan,nan,-45.603107941224344,nan,1,0,1,OK
GC04483,8,0.08,1.21,24.3,EGR-10,-86.15842376715293,-86.15842376715293,-2207.5380164109906,F7_fallback,0.0,0.18036600947850992,0.99802002534324,0.09664054753133655,0.09664054753133655,0.8910559643296949,4.821256434040038,5.210705750622078,0.4865126392734007,0.06050000000092802,2.0063042313999158,-0.12103415177310191,0.10616082144967443,True,False,nan,nan,nan,-92.54806342925184,nan,3,0,3,OK
GC04499,9,0.91,8.18,74.3,EGR-10,-92.61407472536646,-92.61407472536646,-59.922662214685246,F7_fallback,0.0,0.06276699896271173,0.9997796613955781,-6.757777146194204,-6.757777146194204,-4.785531372832008,97.06532123574414,4.645678504248292,2.290019000308952,0.4090000000007165,2.121282991657131,-0.07472008879547286,0.09138258692486707,True,False,nan,nan,nan,-55.74785589004004,nan,3,0,3,OK
GC05005,11,0.78,28.61,100.0,EGR-10,-109.13909311470357,-109.13909311470357,-301.2440688622836,F7_fallback,0.0,0.03009263563476978,0.9995586057128026,8.193750091132449,8.193750091132449,12.172702819116155,16.834876239984183,31.16080783939636,24.009248915053856,11.545549098667738,2.162486835453166,-0.10049242276816704,0.9042620699480929,True,False,nan,nan,nan,-115.13896702291277,nan,1,0,1,OK
